"Comunidad.Autónoma";"Provincia";"Gasto.Total.Prestación";"Gasto.Prestación.Contributiva";"Gasto.Subsidio.Desempleo";"Gasto.Renta.Activa.Inserción";"Gasto.Subsidio.Eventuales.Agrarios";"mes";"any"
"Cataluña";"Barcelona";176479,84;132178,13;41634,36;2667,35;0;"06";"2022"
"Cataluña";"Girona";21123,02;15166,79;5495,64;460,59;0;"06";"2022"
"Cataluña";"Lleida";11535,37;8427,79;2838,23;269,35;0;"06";"2022"
"Cataluña";"Tarragona";25025,5;16932,97;7436,55;655,98;0;"06";"2022"
"Comunitat Valenciana";"Alicante/Alacant";60361,28;34104,98;23135,19;3121,11;0;"06";"2022"
"Comunitat Valenciana";"Castellón/Castelló";21514,53;13815,08;7085,84;613,61;0;"06";"2022"
"Comunitat Valenciana";"Valencia/Valéncia";95218,55;62813,56;29102,2;3302,79;0;"06";"2022"
"Extremadura";"Badajoz";29227,95;11797,12;12367,15;1367,57;3696,11;"06";"2022"
"Extremadura";"Cáceres";17009,81;7038,14;7423,92;571,14;1976,61;"06";"2022"
"Galicia";"Coruña, A";29990,11;19185,57;9958,95;845,59;0;"06";"2022"
